Verbatim,sentiment
Kapsama gücünden memnun değilim  Karabüke bağlı eflani kasabasının köylerinde hiç çekmiyor veya bağlantı sorunu yaşanıyor  Bu durumdan dolayı her yaz sıkıntı yaşamaktan çok sıkıldık  Biz ailece yıllardır vodafone kullanıyoruz fakat birçok kişi şebekesini sırf bu sebeplere bağlı olarak değiştirmek zorunda kalıyor  İyileştirme çalışmalarının biran önce yapılmasını ve bu sorunun cözülmesini istiyoruz  Bilginize sunarım,negative
4 5 bulunduğum bölge de anında hücresele bağlanıyor  Video izlerken donmalar oluyor  Telefon da kesintiler meydana geliyor  Gerçekten ama gerçekten aldığınız para haram olsun,negative
video IZLERKEN DONUYOR,negative
Internet biraz yavas geliyor bana bide tarifeleriniz hic guzel degil hem pahali hem de guzel bir tarifeniz yok lutfen interneti bol ve ucuz tarifeniz varsa hatta tanimlasaniz iyi olur bir de benim tarife 28tl lik 3 gb internetkullanimina diger 3 ü haberimiz olmadan whatsappa gecmiş bunu bir türlü değiştiremiyorum ben onu instagram yapmak istiyorum nasıl olduysa whatsapp olmuş onun için tarifeleriniz kötü,negative
Ben Afyonkarahisar   Bolvadin  kurucaova köyünde yasiyorum cekim gücü cok zayıf,negative
Köyüm büyükabdiuşağı Akpınar Kirsehir e gittiğimde etraf köy ve arazilerde iletişim sorunu yaşamaktayım,negative
Baz istasyonlarınızı artırmanız gerekiyor Bazı noktalar da hala şebekeniz çekmiyor,negative
Son 2 aydir Sürekli konuşurken telefon kesilip kapanıyor  Mobil veri zaten hiç bir zaman hizli calismadi,negative
Mobil şebekeniz muazzam  İç anadolun en ücra köylerinden birinde ikamet etmekteyim  Malum köy ve ücra kelimesi yan yana olunca telefon muş  internetmiş bütün  özelliğini yitiriyor  Fakat bu diğer operatörleri kullananlar için geçerli iyi ki vodafone luyum çok mutluyum  Teşekkürler vodafone,positive
Evimde hat hiç çekmiyor,negative
Konuşurken kesinti oluyor İnternet çok kötü Turkcell veya Türk Telekom geçeceğim Memnun değilim,negative
Şebeke çekimi kotu,negative
Evim 1  Katta kucukcekmece de oturuyorum ve çekmiyor,negative
Daha iyi çekim gücü olsun bence İstanbul havalimanında hiç bir yerde çekmiyor,negative
Şebekeniz iyi çekmiyor,negative
İnternet paketim olduğu gibi kalıyor ve hiç kullanmadan ay bitiyor  Bağlantı sorunu yaşıyorum  En kısa zamanda başka operatöre geçmeyi düşünüyorum,negative
Lütfen çekim gücünü güçlendirin çünkü her yerde çekmiyor,negative
Verici istasyonları güncelleyin yada yenisini takın çekim kuvveti zayıf internet kalitesi 0,negative
Bulunduğum bölgede alt yapı problemi var fiber olmasına ne ev internetim çekiyor ne telefon hattım çekiyor ilk fırsatta operatörünüzü terkedeceğim defalarca iletişime geçmeme rağmen problemim çözülmedi bölgeye yatırım yapılması gerekiyor cevabını alıyorum yatırım yapın o zaman,negative
Köyde internet çekmiyor,negative
Zemin katlarda ve bodrumlarda çekmiyor,negative
Kapsama alanını daha geniş ve kaliteli hale getirmeli,neutral
Kapsama alanini daha fazla genisletirseniz memnun oluruz,neutral
Kocaeli kandıra sarıahmetler köyü  ve çevre köylerde ciddi sorunlar yaşamaktadır  Telefon  İnternet hiç çekmiyor  Vericiler kapsam dışı gibi  ilgilenen yok  Şikayetimizi defalarca bildirdim  İki yıl içinde hep sıkıntı var,negative
Bu anket işe yarar mı bilmem beş kuruş etmez sebeke internet cok zayıf sürekli kesinti oluyor,negative
Faturaları ucuzlatın,neutral
Baz istasyonunuz yetersiz veya kalitesiz güçlendirilebilir,negative
Vodafone 10 cigabayt internetim var kullanamiyorum cunku cekim denen birsey yok en yakin zamanda da Turkcelle gececem tam bir bas belasisiniz verdigim paralar haram olsun,negative
Tarifeler pahalı bir de bulunduğum yerde çekmiyor,negative
Daha iyi bir alt yapı hızlı internet erişimi,neutral
Diğer operatörlere göre sizden beklentim yüksek fakat beklentilerimi yeteri kadar karşılamıyor  Şişli bölgesinde bile yetersiz alanlar var  Kırsalda bahsetmek bile istemiyorum  Sinyal gücü 0 olan o kadar yer varki   Reklam kampanyalarında bahsettiğiniz çok altında olduğunu düşündürüyor   Başarılar,negative
Daha fazla baz istasyonu kursun sıkıntı şebeke çekmeyen yerler,negative
Evimde rahat rahat konuşamıyorum telefonla konuşabilmek için cama çıkmam gerekiyor böyle bir saçmalık olabilir mi,negative
Baz istasyonu sayınızın artması lazım Birçok yerde çekmiyor,negative
Konyanın göbeğindeki evde telefon çekmiyor cama yapışık görüşme yapıyoruz Tüm ev olarak geçmiştik taahhüt dolar dolmaz başka operatöre geçeceğiz,negative
Ev giriş katta ve hat çekmiyor  Sokağa çıkıyorum telefon ile konuşmak için    Dolayısıyla mobil veri de kullanamıyorum  Ev İnterneti de vodafone  O da çekmiyor zaten,negative
Baz istasyonlarınızı arttırırsanız iyi olur,neutral
Ev içinde internet erişimi çok kötü evim 3 katta olmasına rağmen sorun çıkıyor,negative
İnternet hızı çok sıkıntılı,negative
Zemin katta oturuyorum  Evde bana telefonla kimse ulaşamıyor çekim sıfır yani çekmiyor,negative
Bu yaptığım değerlendirme istanbul ici 10 olur fakat düşük seçmemin nedeni samsun çarşamba dıkbıyık gürpınar köyünde vodafone çekmiyor ve merkeze yakın bir yer dağ bayır değil uzak yayla değil siz heryerde kaliteli çekim gücü var diye reklam yakıyorsunuz ama maalesef insanlar o kadar size para ödüyor fakat hizmet sıfır lütfen bu sorunu çözün köyümde artık hattın çekmesini internet kullanmak istiyoruz,negative
Kırsal kesimlerinde hiç bir yerde çekme düzeni yok çok zorluk çekiyoruz  Oysa siz dünya devi olan GSM şirketiniz teşekkürler,negative
İnternet hızını artırmanız tüm herşeyi çözümler,neutral
konuşurken sürekli sıkıntı ilk konuşmada asla konuşamazsin kesiliyor konuşurken karşının sesini duymakta zorluk çekiyorum hiç memun değilim,negative
Internet hızının arttırılması lazım,neutral
İç mekanlarda çok sıkıntı var ve mobil internet çok yavaş beklemeli kesintili oluyor,negative
Vodafone un hala çekmediği yerler var dolayısıyla buralarda internete girmek de hayal oluyor çekim kalitesi ve kapsama alanı geliştirilmeli,negative
Baz istasyon sayisinda artis ve dagiliminda duzenleme yapilabilir,neutral
Alt yapıya daha yatırım yapın,neutral
Kütahya sökmen köyünde şebekeniz yok bunu düzeltin,negative
Merhaba ben samsunda yasiyorum koyum yuksek bir bölgede dısarida sorunsuz kullanilabiliyor fakat ev ıcersinde şebeke tamamen gidiyor   Lafın özü olarak kırsal bölgedeki yakinlarim bu sebepten dolayi daha ucuz olmasina ragmen vodafone gecis yapamiyorlar,negative
Genel itibarı ile gayet iyi ama giriş kat ve zemin katlarda şebeke yeterli değil,pozitive
Bazı bölgelerde şebeke olmuyor bundan dolayı iletişim zorluğu çekiyoruz baz istasyonunun artırılması gerekir diye düşünüyorum,negative
Verdiğiniz ücretsiz kullanımları paket yukseltince fırsat bilip kesmeyin 4 kere bırakılan şikayeti kafanıza göre silmeyin konuyu kapatmayın Haber verdik bilgi verdik diye yalandan bir düşmeyin Kaç yıllık abonenize 75 TL ye 15 GB lutfederken yeni gelene hat değiştirene 30 GB 49 TL ye vermeyin mesela,negative
Baz istasyonu sayısını hızla fazlalaştırmanız gerekiyor,neutral
Valla Osmangazi mahallesinde oturuyorum evimde Turkcell hat çekiyor vodafone çekmiyor en kısa zamanda değiştireceğim hattı,negative
Çekim gücü çok zayıf düzelmesini istiyom bu konuda çok şikayetçiyim,negative
Baz istasyonu sayınızı acilen artırın,neutral
Mobil İnternet hızınız çok düşük evde de İnternet çekmiyor ve Telefon ile konuşurken hat birden kesiliyor defalarca başıma geldi En iyi İnternet seviyesi ve Konuşma için kendinizi lütfen acil geliştirin Red 15 müşterinizim ama hiç bir faydasını göremiyorum,negative
Telefonun şebeke olmadigi alan çok İstanbul a yaşıyorum ama memleketim Ordu   Ordu da köye gittiğimde telefon çekmiyor ve sadece Turkcell çekiyor,negative
Evimiz giriş kat pek çekmiyor,negative
Haksız yere tarife ücreti yansıtılıyor,negative
Vericileri daha iyi bir noktaya yada vericilerin sayısını artırmanızı öneririm çünkü şehir içinde bir çok noktada sinyal zayıflığı yaşıyoruz umarım dikkate alırsınız pek sanmıyorum ama,negative
Baz istasyonlarinizin bakimini ve tamirini yapin personelleriniz ne iş yapiyor Daha çok baz istasyonu dikin vodafoneli olduguma çok pişmanim,negative
İnternet hızımdan hiç memnun değilim,negative
Video izlemede oldukça kötü telefonu bazense hiç açmıyor internet bağlantısı yok diyor bunun için bir çözüm üretilmeli internet var kullanamıyorum,negative
YouTube dan hiç bir şeyi 720 veya 1028 boyutta izleyemiyoruz donuyor herşey 480 can sıkıcı bir durum ne zaman kesintisiz 1080 izledim oyum tam olur,negative
Şebeke merkezde bile çekmiyor internet hızı çok yavaş,negative
Oturduğum bõlgede çekim gücü çok düşük maalesef hiç memnun değilim,negative
Bulundugum bolgeye kesinlikle baz istasyonu veya mobil baz istasyonu kurulmalı 2 adet hattımı vodafone a taşıdım ama sanırım tekrar başka sebekeye taşımamız gerekecek,neutral
Berbat berbat berbat Daha nasıl anlatayım Yıllar geçtikçe düzeleceğinize daha da kötü bir hizmet alıyorum Taahhüdüm bitince farklı şebekeye geçeceğimi bilmenizi isterim,negative
Sebekem hiç çekmiyor buna bır care  bulunmasını istiyorum,negative
Baz istasyonlarının artırılmasını istiyorum,neutral
Elmacık mahallesinde Turkcell çekerken vodafone çekmiyor Bulunduğum konumda başka hatlar çekmesine rağmen vodafone ile 4 5 g ile internete çok zayıf giriyor 3 g ile internete giriyorum Konuşmalardada ses kesintili geliyor telefon oppo a9 2020 hattım faturalı olmasa hat taşıyacağım,negative
Esenyurt Pınar mah 1228 Sokakta oturuyorum 5 Katta balkonda konuşabiliyor um çekmiyor diye gelip bakabilirsiniz taahhüdün bitsin tekrar Turkcell e geçicem,negative
İznik çakırca mahallesinde 4 5 çekiyor ama hızı oldukça az video izletmiyor çözümünü talep ediyorum teşekkürler,negative
Eski abonelerinizin kıymetini bilin ben Turkcell geçicem,neutral
Paketleri ucuz diye gectim turkcell kullandim kendimi bildim bileli tekrar turkcell e gecmeyi düşünüyorum hem vodafone hizi kötü hemde paketler pahali ogrenci oldugum halde 15gb internete 60tl verecek durumum yok turkcelle gecerim daha iyi,negative
Sebekeniz çok zayıf maalesef,negative
Çekim gücü daha iyi olabilir yer yer şebeke bağlantısı kopuyor yer yer çekmiyor,negative
Evim florya havaalanın nin karşısında 1 katta oturuyorum cam kenarına veya balkona çıkmasam görüşemiyorum kimse ile ailede vodafone kimde varsa durum bu,negative
Sinyal gücünü artıracak alt yapı yatırımı istiyoruz,neutral
Tarifeler biraz daha uygun fiyata olabilir,neutral
4 5G ve 3G internet hizini yukseltin lutfen cok sorun yasiyoruz bulundugumuz izmirde,negative
Baz istasyonu yakınımıza kurulsun,neutral
vodafonedan memnun değiliz sozlesme 59tl fatura 103tl cidiyetsiz isler limit asimi hile bos isler limit asma kardaesim sahtekarsiniz,negative
Bulunduğum bölgede internet hızı cok kötü,negative
4 5 g olmasına rağmen internet hızı çok düşük,negative
Alt yapı alanında yetersizliklerin olduğu ve bu alanda iyileştirmeye gidilmesi gerekmektedir,negative
Youtube da video izlemede kötü pubg mobile gibi oyunlarda ping sorunu var,negative
Tatillerde Ordu ili Akkuş İlçesi Ketendere Köyünde geçiriyoruz Turkcell kullananlar 4 5G internete giriyor biz birileriyle konuşabilmek için yüksek tepelere tırmanıyoruz  Kaç kere bu konuda şikayetçi olduysa da umursayan olmadı  2020 yılında çekmeyen şebeke kaldı mı kendinizebirsorun isterim  Bu konuda tarafıma geri dönüş yaparsanız sevinirim iyi çalışmalar,negative
Hepsi iyi sadece evdeki Vodafone net hiç iyi değil çekim gücü çok düşük sadece bulunduğu odadan bağlayabiliyorum evin diğer alanlarından hiç çekmiyor,negative
Dışarda bı nebze iyi ama evde çekmiyor,neutral
İnternet kolay kolay çekmiyor şebeke de aynı şekilde evimde telefonu kullanamıyorum neredeyse bütün odaları geziyorum biriyle konuşmak için bunun çözülmesi için birşeyler yapılmasını arz ederim yoksa hattımı turkcelle tasiyacagim,negative
Arama esnasında sürekli telefon kesilip kapanıyor  Buna çözüm bulabilirsiniz,negative
Sebeke cekim sorunu yasiyorum,negative
Kapsama alanı genişletilmeli İnternet ve telefon heryerde çekmiyor onun harici bu problem yok,neutral
Alt katta oturuyorum telefon çekmesi için cama yapışıyorum,negative
Baz istasyonlarının bakımı yapılmalı şikayet olan yerlerdekiler ihtiyaca göre yenilenmeli bina sayıları ve yüksekliği arttı yetersiz kalıyor,negative
Baz istasyonlarının çoğalması,neutral
Alt yapı için yatırım yapmanız gerek,neutral
Konuşma sırasında yıllardır kesilme kapanma  ton bozukluğu  aradan farklı cızırtı sesi çok fazla  telefonum yeni sıfır yani bu sorun hep var  türk telekoma geçmiştim bu sorunlar için şuan tekrar vodafonea geldim hala devam ediyor,negative
Kendi evimin içinde bile ne şebeke nede internet çekiyor,negative
Tahaaut dolduğu an tekrar 20 yıllık operatörün Turkcell geri döneceğim Berbat bir alt yapınız var sürekli kapanıyor Hat gidiyor Internet sürelikli kasıyor geç bağlanıyor Eşim de bende memnun değiliz,negative
Evimde odanın birinde 4 5G ile internete girerken diğer odada E ile giriyor böyle olunca interneti kullanamıyoruz ve malum bazı odalarda konuşamıyoruz bile şebekenin güçlendirilmesini istiyoruz,negative
Tarifedeki haklarımız bitmeden TL mizi 0 düşürüyor,negative
Reklam a çok para harcamayın şebeke yi daha güçlü yapmaya çalışın arkadaşlar Turkcell e geçiyor ben de geçicicem az kaldı daha kötü olursanız,negative
Bulunduğum bölgede şebeke sorunu var  Her telefon konuşmam kesiliyor  Arayanlar bana ulaşamıyor,negative
Mobil veri ile vodafone TV seyrederken donma lar oluyor Bunu da iyileştirirseniz tadından yenmez__,neutral
Vericilerin çoğaltılması,neutral
Kapsama alanının arttırılması LÜTFENNN,neutral
Bunu siz bilmelisiniz konuşurken bu zamanda hat kesilmesi ne demek,negative
Bir çok yer baz istasyonlari kurulmali şebekeler çekmiyor kaldiğim yerde özellikle hiç çekmiyor,negative
İnternet hızı düşük,negative
Esenlerde yaşıyorum ve hiç çekmiyor Alt yapı güçlendirilmeli,negative
Çekim ağının artırılması ve alt yapının daha fazla güçlendirilmesi,neutral
Video izlerken çok duraksiyor,negative
Konuşmalar sık sık kesilyor ve arama düşüyor  Son zamanlarda bu daha sık olmaya başladı,negative
Fiyatlarınız pahalı,negative
Fatura her ay bir önceki aydan fazla bahane de fatura aşımı elli yaşındaki annem nasıl faturayi aşacak msj bilmez net bilmez gelen aramaya ali demekten başka,negative
Baz istasyonlarını artırın hiç düzenli konuşamıyorum,negative
Daha geniş bir kapsama alanı olursa iyi olur  İstanbul bakırköy ve ataköyde sürekli servis yok sorunu yasiyorum ve konusurken telefonnum surekli kesiliyor,negative
Ic mekanlarda yani ev ve dukkan gibi yerlerde cekim kalitesi ve internet hizi cok dusuk,negative
bulunduğum bölgede arazi yapısınedeni ile coğu yerde çekmemekte dir evrenselller yada yansıtıcı lar ile bölgelerde dahafazla aktif olunabilir ve cogu yerde ki baz istasyonlarınız hale 3g bunlarında 4 5 g ye gecirmeniz daha iyi olacağını düşünüyorum şimdiden teşekkürler,neutral
Yan odada wifi çekmiyor hani mesafe olarak 1 adim anca ama çekmiyor,negative
Baz istasyonlarını güçlendirilmesi,neutral
amasya merzifon hayrettin köyünde evimde şebeke çekmiyor 15 yıllık müşterinizm,negative
Daha önce uygulama üzerinden de bildirim yaptım   telefonum evimde hiç çekmiyor o yüzden Wi Fi le arama açık devamlı  O da arada kendi kendine kopuyor ve iletişim problemi yaşayabiliyorum,negative
Internet çok yavaş hızlansa çok iyi olur,negative
Bulunduğum yerde bir noktada az çekiyor bazı noktalarda hiç çekmiyor Eşimin Turkcell hattı sorunsuz çalışıyor Baz istasyonları hepsi aynı noktada sanırım vodafone sinyal gücü düşük Böyle devam ederse ben de Turkcell e geçiş yapacağım,negative
Konuşma yapamiyorum sürekli kesiliyor,negative
3 katlı evimin 3 katında da ne arama yapabiliyorum nede internet kullanamıyorum kaç kez müracaat ettik alt yapı yok alt yapı yok  gercekt ge vodafone benim için kocaman bir sifir,negative
Mobil şebeke hızı düşük Ev interneti sürekli kesilmektedir,negative
Tunceli ili pertek ilçesi sağman köyünde telefon hiç çekmiyor yapabiliyorsanız verici kurun,negative
Baz istasyonlarınızı mümkünse geliştirin,neutral
İnternette çok bağlantı sorunu yaşıyorum Video kalitesi çok kötü donmalar yaşıyorum sürekli,negative
Çekim gücü çok zayıf hiç memmun değilim kesinlikle tevsiye etmem,negative
ne asansöre girince  nede evde başka bir odaya gidince allah korusun konuştugun yer nereyse sopa yutmuş gibi oradan ayrılamiyorsun Heleki konuşman çok onemli ise bir kesildimi bütün herşey alt üst oluyor Geeldigim hatta geri dönecegim Binanın eksi iki katinda bile şakır şakır konuşuyordum,negative
Cihaz borcumdan dolayi size katlanmak zorundayim son 2 faturam var bittigi anda turkcelle gecicem hicbiryerde çekmiyorsunuz kimseyede tavsiye etmiyorum,negative
Vericileri güçlendirilmesi diğer kurumlar daha çok verici olduğunu belirtmek isterim Teşekkürler,neutral
Baz istasyonlarını arttırabilirsiniz,neutral
Videolar nariren de olsa donma yapıyor,negative
Bir yikdir evde gorusme yyapamiyirum cunku çekmiyor beb paarkinson hasrasiyim ac durumlarda hic kimseye mmumkudeğil ulasamiyorum bisyere faturali oduyorumm ustelik kullabamadugim faturalari  Banadacyazuk,negative
Evimin içinden telefonla konuşmak için balkona çıkmak ve evin içinden mobil interneti kullanamamak belki bunu iyilestirebilirsiniz,neutral
Çanakkale merkezde yaşıyorum ama merkezden 25 km uzaktaki bağ evimize gittiğimizde   Dümrek Köyü  benim  eşimin ve babamın dünyayla tüm iletişimimiz kopuyor  Orada hiç çekmiyor ve bu yüzden aile üyelerim teker teker vodafone dan ayrılıyor  Bu konuda bir çalışmanız olmayacaksa biz de yakında ayrılmayı düşünüyoruz,negative
Youtube videolarını 720p60 seyredemiyorum donuyor en fazla 480p düzeltirseniz sevinirim,negative
Benim evimde hiç bir şekilde telefon çekmiyor cama cıkmak zorunda kalıyoruz gereğini yapmanızı rica ediyorum,negative
Baz istasyonu sayısını arttırın,neutral
Başak mahallesi 1654 Sokak no 12 de oturuyoruz fakat evimiz 3 Katta olmasına rağmen yıllardır balkonlara çıkıyoruz çekmesi için biz yorulduk ama inşallah çözeceğinizi umuyoruz ölmeden,negative
Kendinizi yenilemeniz gerektiğini düşünüyorum bir adım önce çeken telefon bir adım sonra asla çekmiyor birkaç kez aramak zorunda kalıyorum konuşmak için eve internet aldık 2 oda arkadan çekmiyor evin belli noktalarında hazılola geçiyoruz bu nasıl bir mantık anlamıyorum az kaldı başka bir hatta geçmeye 3 hat va r birinternet değiştirmek üzereyim sabrımı zorluyorsunuz,negative
hiç memnun degilim vodafone gectigim icin çok pisman oldum kalite sıfır tarife yükselmeye taahhüt bozmuyosunuz ama düşürmek isteyince taahhüt bozma cezası en kısa 1 yılım dolsun turkcell geçiş yapacagimm,negative
vodafone geçtim çekmiyor baz istasyonlarının güçlendirin yetersiz alanlara baz istasyonu kurun,negative
Semtin tam ortasında dairemizin içinde çekmiyor konuşmak için ya pencereye yada dışa çıkıyoruz daha öne müşteri hizmetlerine bldirdim bunu ama sebekede sorun yok denip kapatıldı,negative
kocaeli merkez otogar yanında oturuyorum  evimin içinde ve evimin bahçesinde telefonum şebeke çekmiyor  görüşmelerim kesiliyor,negative
Daha çok yıllar gerekiyor gelişmemiz için adam gibi çekmiyor vodafone yıllardır turkcell müşterisiydim vodafone geçtim pişman oldum tekrar turkcell e geçeceğim bu gidisle,negative
Benim evim üçüncü kat çekmiyorsa nerede çekecek,negative
Şebeke hiç bir yerde çekmiyorr,negative
Telefonum evde çekmiyor cam kenarında konuauyorum,negative
İkamet ettiğim evde şebeke problemi devamediyor evde kal diyosunuz telefon şebeke yok yazik yazik,negative
İnternet hizi yukseltin,neutral
Yıl 2020 çekim gücü hala çok düşük,negative
Hat kesilmelerim oluyorve bulunduğum yerde telefonum çekmeyebiliyo,negative
Mobil şebeke tavsiye edicegim birşey yok ama çok kötü şebekeniz var 4 düncü katta oturuyorum evimin içinde çekmiyor hiç memlun degilim,negative
Şebekeler ve internet çekmiyor konuşurken kapanıyor Gereğinin yapılmasını arz ederim,negative
Çekim gücü az evlerde bile zor çekiyor arama yapmaya bazen videolar donuyor surekli,negative
Kapsama yetersiz videolar çok geç açiliyorgoruntulu konuşmalarda donma çok oluyor,negative
çekmiyor hizli interneti yok yavaş,negative
Baz istasyonlarin güçlenmesi ve yaygınlaşması lazım diye dusunuyorum,neutral
Sürekli kesintiye uğruyor konuşurken,negative
Çekim gücünde çok sıkıntı yaşıyorum umarım geliştirmek adına adımlarınız olur,negative
Ben Doğanhisar Koçaş köyündeyim hattınız  çekmiyor verici kurulmasını istiyorum,negative
İnternet berbat Çağrılarda şebeke sorunu bildim bileli var Sözleşmenin bitmesini iple çekiyorum resmen geri Turkcell e dönücem,negative
Bazı yerlerde az çekiyor kapsama alanları geliştirilmeli,negative
Çekimi düşük bazı yerlerde şebeke çekmiyor,negative
çekmiyor şebekesi hiç iyi değil böyle giderse Türk Telekom a geçcem,negative
Tire sarılar köyü hiç çekmiyor pzar günleri mahrumum Ödemiş çamyayla köyü az çekiyor mahrumuz iyileştirirseniz müşteri potföyü yükselir,negative
Türk telekomdan size sizden de Turkcell e geçecem,negative
Evimde ön oda da çekmiyor konuşmak için arka odaya geçmek zorunda kalıyorum,negative
Malesef heryerde çekmiyor alt yapıya birazdaha özen gösterilmeli bu konuda biraz sıkını çekiyoruz birvodafone kulanısı olarak tesekkurlerürler,negative
Şebeke çekmiyor giriş katta oturmama rağmen telefonum çekmiyor bu yüzden vodafone dan ayrilicam,negative
Canlı tv izlerken donma oluyor bu düzeltirse gayet güzel olur,negative
Kapsama alanı ve çekim gücü geliştirilmeli,neutral
Puhu TV vb Uygulamalarda film izlerken sürekli donuyor,negative
Telefon cekmede internet ve video izlemede kalite düşüklüğü mevcut,negative
Elektirik gittiğinde şebeke gitmesin o kadar ücret ödüyorum bu şekil devam ederse Turkcelle geçecem,negative
Baz istasyon sayınızı arttırmalısınız özellikle Bağcılar demirkapı mahallesinde,neutral
Cogu yerde çekmiyor video lar izlerken donuyor,negative
Fiyatına göre gayet iyi fakat evde arka odalarda internet hiç çekmiyor  Çektiği odada 2 diş çekiyor sadece belki 2  Katta oturduğumuz için olabilir  Fiber kablo kullaniyorsunuz sanırım belki biraz daha yaygın bir sebeke aği kurulabilir,positive
Telefonumun şebeke sorunu var internet baglantisi yavaş donma yapiyor birçok yerde çekmiyor,negative
Öncelile 10 yıldan beri vodafone kullanıcısıyım ve çok memnunum ama köye geldiğim zamanlar hiç çekmiyor belirli yerlere gidip zorla çektirmem gerekiyor acil bir şey olduğunda haber vermek zor olabilir bunun için vodafone nin çoğu yere ulaşması gerekiyor  Şimdiden teşekkür ederim,positive
Maalesef çekim gücü çok çok düşük ufak bir kuytuya girdiğiniz de şebeke yok kötü niyetle söylemedim yani sıkıntı,negative
Verici sayısını yükseltirseniz telefonlarımız çeker,neutral
